>>> Initializing clothing shape model...
>>> Star initialized.
>>> Get parameters list...
>>> Length of pose: 231
>>> Length of shape: 1
>>> Length of data: 231
self.base_body_list is 
['../../Data/base_body/pose_0153/subject_0000_params.json', '../../Data/base_body/pose_0079/subject_0000_params.json', '../../Data/base_body/pose_0133/subject_0000_params.json', '../../Data/base_body/pose_0206/subject_0000_params.json', '../../Data/base_body/pose_0023/subject_0000_params.json', '../../Data/base_body/pose_0144/subject_0000_params.json', '../../Data/base_body/pose_0202/subject_0000_params.json', '../../Data/base_body/pose_0191/subject_0000_params.json', '../../Data/base_body/pose_0222/subject_0000_params.json', '../../Data/base_body/pose_0041/subject_0000_params.json', '../../Data/base_body/pose_0109/subject_0000_params.json', '../../Data/base_body/pose_0168/subject_0000_params.json', '../../Data/base_body/pose_0224/subject_0000_params.json', '../../Data/base_body/pose_0215/subject_0000_params.json', '../../Data/base_body/pose_0143/subject_0000_params.json', '../../Data/base_body/pose_0227/subject_0000_params.json', '../../Data/base_body/pose_0062/subject_0000_params.json', '../../Data/base_body/pose_0016/subject_0000_params.json', '../../Data/base_body/pose_0054/subject_0000_params.json', '../../Data/base_body/pose_0204/subject_0000_params.json', '../../Data/base_body/pose_0162/subject_0000_params.json', '../../Data/base_body/pose_0130/subject_0000_params.json', '../../Data/base_body/pose_0134/subject_0000_params.json', '../../Data/base_body/pose_0066/subject_0000_params.json', '../../Data/base_body/pose_0212/subject_0000_params.json', '../../Data/base_body/pose_0157/subject_0000_params.json', '../../Data/base_body/pose_0028/subject_0000_params.json', '../../Data/base_body/pose_0189/subject_0000_params.json', '../../Data/base_body/pose_0029/subject_0000_params.json', '../../Data/base_body/pose_0000/subject_0000_params.json', '../../Data/base_body/pose_0158/subject_0000_params.json', '../../Data/base_body/pose_0177/subject_0000_params.json', '../../Data/base_body/pose_0164/subject_0000_params.json', '../../Data/base_body/pose_0119/subject_0000_params.json', '../../Data/base_body/pose_0190/subject_0000_params.json', '../../Data/base_body/pose_0076/subject_0000_params.json', '../../Data/base_body/pose_0086/subject_0000_params.json', '../../Data/base_body/pose_0207/subject_0000_params.json', '../../Data/base_body/pose_0040/subject_0000_params.json', '../../Data/base_body/pose_0084/subject_0000_params.json', '../../Data/base_body/pose_0220/subject_0000_params.json', '../../Data/base_body/pose_0159/subject_0000_params.json', '../../Data/base_body/pose_0179/subject_0000_params.json', '../../Data/base_body/pose_0030/subject_0000_params.json', '../../Data/base_body/pose_0007/subject_0000_params.json', '../../Data/base_body/pose_0200/subject_0000_params.json', '../../Data/base_body/pose_0141/subject_0000_params.json', '../../Data/base_body/pose_0138/subject_0000_params.json', '../../Data/base_body/pose_0203/subject_0000_params.json', '../../Data/base_body/pose_0176/subject_0000_params.json', '../../Data/base_body/pose_0165/subject_0000_params.json', '../../Data/base_body/pose_0052/subject_0000_params.json', '../../Data/base_body/pose_0090/subject_0000_params.json', '../../Data/base_body/pose_0001/subject_0000_params.json', '../../Data/base_body/pose_0063/subject_0000_params.json', '../../Data/base_body/pose_0122/subject_0000_params.json', '../../Data/base_body/pose_0194/subject_0000_params.json', '../../Data/base_body/pose_0132/subject_0000_params.json', '../../Data/base_body/pose_0099/subject_0000_params.json', '../../Data/base_body/pose_0147/subject_0000_params.json', '../../Data/base_body/pose_0142/subject_0000_params.json', '../../Data/base_body/pose_0014/subject_0000_params.json', '../../Data/base_body/pose_0137/subject_0000_params.json', '../../Data/base_body/pose_0107/subject_0000_params.json', '../../Data/base_body/pose_0201/subject_0000_params.json', '../../Data/base_body/pose_0195/subject_0000_params.json', '../../Data/base_body/pose_0015/subject_0000_params.json', '../../Data/base_body/pose_0002/subject_0000_params.json', '../../Data/base_body/pose_0020/subject_0000_params.json', '../../Data/base_body/pose_0003/subject_0000_params.json', '../../Data/base_body/pose_0211/subject_0000_params.json', '../../Data/base_body/pose_0102/subject_0000_params.json', '../../Data/base_body/pose_0231/subject_0000_params.json', '../../Data/base_body/pose_0019/subject_0000_params.json', '../../Data/base_body/pose_0217/subject_0000_params.json', '../../Data/base_body/pose_0175/subject_0000_params.json', '../../Data/base_body/pose_0181/subject_0000_params.json', '../../Data/base_body/pose_0043/subject_0000_params.json', '../../Data/base_body/pose_0106/subject_0000_params.json', '../../Data/base_body/pose_0139/subject_0000_params.json', '../../Data/base_body/pose_0101/subject_0000_params.json', '../../Data/base_body/pose_0128/subject_0000_params.json', '../../Data/base_body/pose_0053/subject_0000_params.json', '../../Data/base_body/pose_0115/subject_0000_params.json', '../../Data/base_body/pose_0193/subject_0000_params.json', '../../Data/base_body/pose_0111/subject_0000_params.json', '../../Data/base_body/pose_0123/subject_0000_params.json', '../../Data/base_body/pose_0117/subject_0000_params.json', '../../Data/base_body/pose_0089/subject_0000_params.json', '../../Data/base_body/pose_0182/subject_0000_params.json', '../../Data/base_body/pose_0108/subject_0000_params.json', '../../Data/base_body/pose_0073/subject_0000_params.json', '../../Data/base_body/pose_0056/subject_0000_params.json', '../../Data/base_body/pose_0226/subject_0000_params.json', '../../Data/base_body/pose_0037/subject_0000_params.json', '../../Data/base_body/pose_0218/subject_0000_params.json', '../../Data/base_body/pose_0088/subject_0000_params.json', '../../Data/base_body/pose_0009/subject_0000_params.json', '../../Data/base_body/pose_0196/subject_0000_params.json', '../../Data/base_body/pose_0083/subject_0000_params.json', '../../Data/base_body/pose_0100/subject_0000_params.json', '../../Data/base_body/pose_0039/subject_0000_params.json', '../../Data/base_body/pose_0032/subject_0000_params.json', '../../Data/base_body/pose_0024/subject_0000_params.json', '../../Data/base_body/pose_0209/subject_0000_params.json', '../../Data/base_body/pose_0171/subject_0000_params.json', '../../Data/base_body/pose_0044/subject_0000_params.json', '../../Data/base_body/pose_0184/subject_0000_params.json', '../../Data/base_body/pose_0098/subject_0000_params.json', '../../Data/base_body/pose_0091/subject_0000_params.json', '../../Data/base_body/pose_0049/subject_0000_params.json', '../../Data/base_body/pose_0047/subject_0000_params.json', '../../Data/base_body/pose_0048/subject_0000_params.json', '../../Data/base_body/pose_0036/subject_0000_params.json', '../../Data/base_body/pose_0081/subject_0000_params.json', '../../Data/base_body/pose_0183/subject_0000_params.json', '../../Data/base_body/pose_0146/subject_0000_params.json', '../../Data/base_body/pose_0077/subject_0000_params.json', '../../Data/base_body/pose_0124/subject_0000_params.json', '../../Data/base_body/pose_0150/subject_0000_params.json', '../../Data/base_body/pose_0125/subject_0000_params.json', '../../Data/base_body/pose_0092/subject_0000_params.json', '../../Data/base_body/pose_0093/subject_0000_params.json', '../../Data/base_body/pose_0121/subject_0000_params.json', '../../Data/base_body/pose_0033/subject_0000_params.json', '../../Data/base_body/pose_0027/subject_0000_params.json', '../../Data/base_body/pose_0149/subject_0000_params.json', '../../Data/base_body/pose_0061/subject_0000_params.json', '../../Data/base_body/pose_0205/subject_0000_params.json', '../../Data/base_body/pose_0155/subject_0000_params.json', '../../Data/base_body/pose_0095/subject_0000_params.json', '../../Data/base_body/pose_0116/subject_0000_params.json', '../../Data/base_body/pose_0004/subject_0000_params.json', '../../Data/base_body/pose_0145/subject_0000_params.json', '../../Data/base_body/pose_0192/subject_0000_params.json', '../../Data/base_body/pose_0174/subject_0000_params.json', '../../Data/base_body/pose_0064/subject_0000_params.json', '../../Data/base_body/pose_0018/subject_0000_params.json', '../../Data/base_body/pose_0186/subject_0000_params.json', '../../Data/base_body/pose_0229/subject_0000_params.json', '../../Data/base_body/pose_0110/subject_0000_params.json', '../../Data/base_body/pose_0120/subject_0000_params.json', '../../Data/base_body/pose_0017/subject_0000_params.json', '../../Data/base_body/pose_0148/subject_0000_params.json', '../../Data/base_body/pose_0008/subject_0000_params.json', '../../Data/base_body/pose_0225/subject_0000_params.json', '../../Data/base_body/pose_0057/subject_0000_params.json', '../../Data/base_body/pose_0058/subject_0000_params.json', '../../Data/base_body/pose_0067/subject_0000_params.json', '../../Data/base_body/pose_0131/subject_0000_params.json', '../../Data/base_body/pose_0012/subject_0000_params.json', '../../Data/base_body/pose_0161/subject_0000_params.json', '../../Data/base_body/pose_0087/subject_0000_params.json', '../../Data/base_body/pose_0129/subject_0000_params.json', '../../Data/base_body/pose_0223/subject_0000_params.json', '../../Data/base_body/pose_0210/subject_0000_params.json', '../../Data/base_body/pose_0096/subject_0000_params.json', '../../Data/base_body/pose_0060/subject_0000_params.json', '../../Data/base_body/pose_0082/subject_0000_params.json', '../../Data/base_body/pose_0104/subject_0000_params.json', '../../Data/base_body/pose_0185/subject_0000_params.json', '../../Data/base_body/pose_0180/subject_0000_params.json', '../../Data/base_body/pose_0127/subject_0000_params.json', '../../Data/base_body/pose_0188/subject_0000_params.json', '../../Data/base_body/pose_0050/subject_0000_params.json', '../../Data/base_body/pose_0046/subject_0000_params.json', '../../Data/base_body/pose_0187/subject_0000_params.json', '../../Data/base_body/pose_0065/subject_0000_params.json', '../../Data/base_body/pose_0197/subject_0000_params.json', '../../Data/base_body/pose_0071/subject_0000_params.json', '../../Data/base_body/pose_0011/subject_0000_params.json', '../../Data/base_body/pose_0069/subject_0000_params.json', '../../Data/base_body/pose_0072/subject_0000_params.json', '../../Data/base_body/pose_0213/subject_0000_params.json', '../../Data/base_body/pose_0094/subject_0000_params.json', '../../Data/base_body/pose_0156/subject_0000_params.json', '../../Data/base_body/pose_0230/subject_0000_params.json', '../../Data/base_body/pose_0034/subject_0000_params.json', '../../Data/base_body/pose_0022/subject_0000_params.json', '../../Data/base_body/pose_0103/subject_0000_params.json', '../../Data/base_body/pose_0005/subject_0000_params.json', '../../Data/base_body/pose_0167/subject_0000_params.json', '../../Data/base_body/pose_0232/subject_0000_params.json', '../../Data/base_body/pose_0170/subject_0000_params.json', '../../Data/base_body/pose_0068/subject_0000_params.json', '../../Data/base_body/pose_0214/subject_0000_params.json', '../../Data/base_body/pose_0055/subject_0000_params.json', '../../Data/base_body/pose_0075/subject_0000_params.json', '../../Data/base_body/pose_0140/subject_0000_params.json', '../../Data/base_body/pose_0045/subject_0000_params.json', '../../Data/base_body/pose_0221/subject_0000_params.json', '../../Data/base_body/pose_0013/subject_0000_params.json', '../../Data/base_body/pose_0154/subject_0000_params.json', '../../Data/base_body/pose_0114/subject_0000_params.json', '../../Data/base_body/pose_0070/subject_0000_params.json', '../../Data/base_body/pose_0198/subject_0000_params.json', '../../Data/base_body/pose_0216/subject_0000_params.json', '../../Data/base_body/pose_0097/subject_0000_params.json', '../../Data/base_body/pose_0126/subject_0000_params.json', '../../Data/base_body/pose_0152/subject_0000_params.json', '../../Data/base_body/pose_0112/subject_0000_params.json', '../../Data/base_body/pose_0078/subject_0000_params.json', '../../Data/base_body/pose_0025/subject_0000_params.json', '../../Data/base_body/pose_0151/subject_0000_params.json', '../../Data/base_body/pose_0026/subject_0000_params.json', '../../Data/base_body/pose_0080/subject_0000_params.json', '../../Data/base_body/pose_0105/subject_0000_params.json', '../../Data/base_body/pose_0035/subject_0000_params.json', '../../Data/base_body/pose_0118/subject_0000_params.json', '../../Data/base_body/pose_0136/subject_0000_params.json', '../../Data/base_body/pose_0208/subject_0000_params.json', '../../Data/base_body/pose_0085/subject_0000_params.json', '../../Data/base_body/pose_0006/subject_0000_params.json', '../../Data/base_body/pose_0173/subject_0000_params.json', '../../Data/base_body/pose_0166/subject_0000_params.json', '../../Data/base_body/pose_0113/subject_0000_params.json', '../../Data/base_body/pose_0163/subject_0000_params.json', '../../Data/base_body/pose_0059/subject_0000_params.json', '../../Data/base_body/pose_0051/subject_0000_params.json', '../../Data/base_body/pose_0135/subject_0000_params.json', '../../Data/base_body/pose_0228/subject_0000_params.json', '../../Data/base_body/pose_0038/subject_0000_params.json', '../../Data/base_body/pose_0199/subject_0000_params.json', '../../Data/base_body/pose_0169/subject_0000_params.json', '../../Data/base_body/pose_0160/subject_0000_params.json', '../../Data/base_body/pose_0021/subject_0000_params.json', '../../Data/base_body/pose_0178/subject_0000_params.json', '../../Data/base_body/pose_0042/subject_0000_params.json', '../../Data/base_body/pose_0074/subject_0000_params.json', '../../Data/base_body/pose_0172/subject_0000_params.json', '../../Data/base_body/pose_0031/subject_0000_params.json']
../../Data/base_body/pose_0153/subject_0000/clothWhite2/subject_0000_clothWhite2-scale10.obj

>>> 100/231 loading...
>>> 200/231 loading...
>>> MLP dimensions: [72, 2048, 2048, 2048, 2048, 2048, 5283].
>>> training MLP starts

training... 0100/200000: loss: 1778.849
training... 0200/200000: loss: 1307.612
training... 0300/200000: loss: 1152.724
training... 0400/200000: loss: 1021.016
training... 0500/200000: loss: 945.207
training... 0600/200000: loss: 900.880
training... 0700/200000: loss: 860.832
training... 0800/200000: loss: 818.884
training... 0900/200000: loss: 778.012
training... 1000/200000: loss: 814.742
training... 1100/200000: loss: 699.058
training... 1200/200000: loss: 689.221
training... 1300/200000: loss: 660.980
training... 1400/200000: loss: 595.057
training... 1500/200000: loss: 895.355
training... 1600/200000: loss: 545.370
training... 1700/200000: loss: 487.991
training... 1800/200000: loss: 504.974
training... 1900/200000: loss: 469.220
training... 2000/200000: loss: 539.766
training... 2100/200000: loss: 388.350
training... 2200/200000: loss: 428.443
training... 2300/200000: loss: 345.397
training... 2400/200000: loss: 511.488
training... 2500/200000: loss: 367.769
training... 2600/200000: loss: 310.463
training... 2700/200000: loss: 303.057
training... 2800/200000: loss: 287.371
training... 2900/200000: loss: 353.119
training... 3000/200000: loss: 326.770
training... 3100/200000: loss: 294.756
training... 3200/200000: loss: 329.552
training... 3300/200000: loss: 404.251
training... 3400/200000: loss: 262.765
training... 3500/200000: loss: 271.456
training... 3600/200000: loss: 274.443
training... 3700/200000: loss: 266.639
training... 3800/200000: loss: 245.504
training... 3900/200000: loss: 258.111
training... 4000/200000: loss: 251.494
training... 4100/200000: loss: 240.899
training... 4200/200000: loss: 272.190
training... 4300/200000: loss: 220.254
training... 4400/200000: loss: 260.961
training... 4500/200000: loss: 196.699
training... 4600/200000: loss: 199.959
training... 4700/200000: loss: 263.453
training... 4800/200000: loss: 215.303
training... 4900/200000: loss: 192.033
training... 5000/200000: loss: 183.391
training... 5100/200000: loss: 184.603
training... 5200/200000: loss: 177.029
training... 5300/200000: loss: 198.682
training... 5400/200000: loss: 150.428
training... 5500/200000: loss: 146.288
training... 5600/200000: loss: 293.664
training... 5700/200000: loss: 186.770
training... 5800/200000: loss: 352.647
training... 5900/200000: loss: 158.638
training... 6000/200000: loss: 154.332
training... 6100/200000: loss: 214.856
training... 6200/200000: loss: 135.080
training... 6300/200000: loss: 193.417
training... 6400/200000: loss: 155.704
training... 6500/200000: loss: 139.067
training... 6600/200000: loss: 148.145
training... 6700/200000: loss: 183.698
training... 6800/200000: loss: 143.967
training... 6900/200000: loss: 137.171
training... 7000/200000: loss: 146.770
training... 7100/200000: loss: 197.685
training... 7200/200000: loss: 138.840
training... 7300/200000: loss: 179.649
training... 7400/200000: loss: 206.434
training... 7500/200000: loss: 122.279
training... 7600/200000: loss: 129.737
training... 7700/200000: loss: 105.488
training... 7800/200000: loss: 126.806
training... 7900/200000: loss: 160.071
training... 8000/200000: loss: 126.996
training... 8100/200000: loss: 107.731
training... 8200/200000: loss: 113.229
training... 8300/200000: loss: 115.159
training... 8400/200000: loss: 172.726
training... 8500/200000: loss: 104.275
training... 8600/200000: loss: 116.778
training... 8700/200000: loss: 133.988
training... 8800/200000: loss: 101.333
training... 8900/200000: loss: 90.567
training... 9000/200000: loss: 113.380
training... 9100/200000: loss: 220.764
training... 9200/200000: loss: 88.765
training... 9300/200000: loss: 92.125
training... 9400/200000: loss: 107.625
training... 9500/200000: loss: 93.841
training... 9600/200000: loss: 87.761
training... 9700/200000: loss: 81.149
training... 9800/200000: loss: 88.444
training... 9900/200000: loss: 84.958
training... 10000/200000: loss: 80.994
training... 10100/200000: loss: 80.800
training... 10200/200000: loss: 78.119
training... 10300/200000: loss: 77.707
training... 10400/200000: loss: 66.721
training... 10500/200000: loss: 72.633
training... 10600/200000: loss: 76.546
training... 10700/200000: loss: 85.683
training... 10800/200000: loss: 68.783
training... 10900/200000: loss: 70.296
training... 11000/200000: loss: 66.297
training... 11100/200000: loss: 74.438
training... 11200/200000: loss: 70.949
training... 11300/200000: loss: 73.989
training... 11400/200000: loss: 70.758
training... 11500/200000: loss: 67.130
training... 11600/200000: loss: 63.406
training... 11700/200000: loss: 61.827
training... 11800/200000: loss: 65.338
training... 11900/200000: loss: 78.479
training... 12000/200000: loss: 79.518
training... 12100/200000: loss: 67.084
training... 12200/200000: loss: 55.773
training... 12300/200000: loss: 59.142
training... 12400/200000: loss: 71.053
training... 12500/200000: loss: 57.954
training... 12600/200000: loss: 55.279
training... 12700/200000: loss: 55.047
training... 12800/200000: loss: 56.958
training... 12900/200000: loss: 54.233
training... 13000/200000: loss: 61.191
training... 13100/200000: loss: 56.864
training... 13200/200000: loss: 64.589
training... 13300/200000: loss: 53.942
training... 13400/200000: loss: 51.719
training... 13500/200000: loss: 55.861
training... 13600/200000: loss: 53.791
training... 13700/200000: loss: 49.976
training... 13800/200000: loss: 56.757
training... 13900/200000: loss: 51.454
training... 14000/200000: loss: 51.182
training... 14100/200000: loss: 58.589
training... 14200/200000: loss: 53.262
training... 14300/200000: loss: 53.997
training... 14400/200000: loss: 64.619
training... 14500/200000: loss: 63.795
training... 14600/200000: loss: 56.054
training... 14700/200000: loss: 65.300
training... 14800/200000: loss: 46.914
training... 14900/200000: loss: 46.332
training... 15000/200000: loss: 45.343
training... 15100/200000: loss: 46.664
training... 15200/200000: loss: 45.122
training... 15300/200000: loss: 45.362
training... 15400/200000: loss: 55.425
training... 15500/200000: loss: 50.787
training... 15600/200000: loss: 47.784
training... 15700/200000: loss: 46.707
training... 15800/200000: loss: 54.674
training... 15900/200000: loss: 45.717
training... 16000/200000: loss: 45.385
training... 16100/200000: loss: 37.269
training... 16200/200000: loss: 49.538
training... 16300/200000: loss: 47.463
training... 16400/200000: loss: 52.650
training... 16500/200000: loss: 50.614
training... 16600/200000: loss: 44.490
training... 16700/200000: loss: 49.205
training... 16800/200000: loss: 42.092
training... 16900/200000: loss: 46.002
training... 17000/200000: loss: 45.168
training... 17100/200000: loss: 42.914
training... 17200/200000: loss: 41.283
training... 17300/200000: loss: 40.864
training... 17400/200000: loss: 46.371
training... 17500/200000: loss: 45.017
training... 17600/200000: loss: 43.297
training... 17700/200000: loss: 44.465
training... 17800/200000: loss: 46.660
training... 17900/200000: loss: 41.187
training... 18000/200000: loss: 41.412
training... 18100/200000: loss: 46.600
training... 18200/200000: loss: 41.170
training... 18300/200000: loss: 45.816
training... 18400/200000: loss: 46.393
training... 18500/200000: loss: 40.407
training... 18600/200000: loss: 39.947
training... 18700/200000: loss: 39.031
training... 18800/200000: loss: 50.854
training... 18900/200000: loss: 42.352
training... 19000/200000: loss: 44.714
training... 19100/200000: loss: 44.046
training... 19200/200000: loss: 40.675
training... 19300/200000: loss: 45.456
training... 19400/200000: loss: 42.793
training... 19500/200000: loss: 43.956
training... 19600/200000: loss: 39.603
training... 19700/200000: loss: 46.974
training... 19800/200000: loss: 49.133
training... 19900/200000: loss: 52.833
training... 20000/200000: loss: 46.323
training... 20100/200000: loss: 35.809
training... 20200/200000: loss: 39.588
training... 20300/200000: loss: 39.270
training... 20400/200000: loss: 45.168
training... 20500/200000: loss: 39.530
training... 20600/200000: loss: 44.400
training... 20700/200000: loss: 37.149
training... 20800/200000: loss: 43.621
training... 20900/200000: loss: 40.377
training... 21000/200000: loss: 39.803
training... 21100/200000: loss: 47.999
training... 21200/200000: loss: 39.504
training... 21300/200000: loss: 39.837
training... 21400/200000: loss: 40.450
training... 21500/200000: loss: 44.153
training... 21600/200000: loss: 43.171
training... 21700/200000: loss: 40.355
training... 21800/200000: loss: 42.350
training... 21900/200000: loss: 38.366
training... 22000/200000: loss: 43.092
training... 22100/200000: loss: 41.674
training... 22200/200000: loss: 37.253
training... 22300/200000: loss: 33.945
training... 22400/200000: loss: 42.796
training... 22500/200000: loss: 37.751
training... 22600/200000: loss: 45.375
training... 22700/200000: loss: 35.704
training... 22800/200000: loss: 38.715
training... 22900/200000: loss: 38.904
training... 23000/200000: loss: 36.230
training... 23100/200000: loss: 39.653
training... 23200/200000: loss: 41.168
training... 23300/200000: loss: 36.809
training... 23400/200000: loss: 38.646
training... 23500/200000: loss: 39.459
training... 23600/200000: loss: 38.349
training... 23700/200000: loss: 41.154
training... 23800/200000: loss: 41.664
training... 23900/200000: loss: 29.531
training... 24000/200000: loss: 38.861
training... 24100/200000: loss: 46.504
training... 24200/200000: loss: 38.410
training... 24300/200000: loss: 37.570
training... 24400/200000: loss: 33.841
training... 24500/200000: loss: 35.034
training... 24600/200000: loss: 36.744
training... 24700/200000: loss: 37.829
training... 24800/200000: loss: 37.516
training... 24900/200000: loss: 38.507
training... 25000/200000: loss: 37.948
training... 25100/200000: loss: 37.229
training... 25200/200000: loss: 37.292
training... 25300/200000: loss: 34.449
training... 25400/200000: loss: 42.458
training... 25500/200000: loss: 41.521
training... 25600/200000: loss: 39.760
training... 25700/200000: loss: 34.073
training... 25800/200000: loss: 44.934
training... 25900/200000: loss: 38.520
training... 26000/200000: loss: 36.430
training... 26100/200000: loss: 38.778
training... 26200/200000: loss: 40.250
training... 26300/200000: loss: 38.036
training... 26400/200000: loss: 38.432
training... 26500/200000: loss: 40.533
training... 26600/200000: loss: 39.015
training... 26700/200000: loss: 33.678
training... 26800/200000: loss: 34.620
training... 26900/200000: loss: 35.288
training... 27000/200000: loss: 35.820
training... 27100/200000: loss: 36.116
training... 27200/200000: loss: 37.396
training... 27300/200000: loss: 32.477
training... 27400/200000: loss: 31.883
training... 27500/200000: loss: 29.669
training... 27600/200000: loss: 35.086
training... 27700/200000: loss: 32.770
training... 27800/200000: loss: 29.486
training... 27900/200000: loss: 31.716
training... 28000/200000: loss: 34.768
training... 28100/200000: loss: 31.554
training... 28200/200000: loss: 37.137
training... 28300/200000: loss: 35.349
training... 28400/200000: loss: 32.547
training... 28500/200000: loss: 33.303
training... 28600/200000: loss: 32.905
training... 28700/200000: loss: 32.355
training... 28800/200000: loss: 31.401
training... 28900/200000: loss: 31.912
training... 29000/200000: loss: 31.220
training... 29100/200000: loss: 32.875
training... 29200/200000: loss: 31.424
training... 29300/200000: loss: 33.561
training... 29400/200000: loss: 33.986
training... 29500/200000: loss: 30.730
training... 29600/200000: loss: 37.382
training... 29700/200000: loss: 35.649
training... 29800/200000: loss: 31.397
training... 29900/200000: loss: 32.781
training... 30000/200000: loss: 31.769
training... 30100/200000: loss: 33.159
training... 30200/200000: loss: 35.947
training... 30300/200000: loss: 33.699
training... 30400/200000: loss: 34.161
training... 30500/200000: loss: 32.704
training... 30600/200000: loss: 38.124
training... 30700/200000: loss: 36.111
training... 30800/200000: loss: 32.511
training... 30900/200000: loss: 33.972
training... 31000/200000: loss: 28.948
training... 31100/200000: loss: 36.930
training... 31200/200000: loss: 33.571
training... 31300/200000: loss: 26.560
training... 31400/200000: loss: 32.075
training... 31500/200000: loss: 36.233
training... 31600/200000: loss: 31.944
training... 31700/200000: loss: 29.223
training... 31800/200000: loss: 39.444
training... 31900/200000: loss: 27.969
training... 32000/200000: loss: 31.375
training... 32100/200000: loss: 30.852
training... 32200/200000: loss: 29.785
training... 32300/200000: loss: 37.920
training... 32400/200000: loss: 31.678
training... 32500/200000: loss: 32.242
training... 32600/200000: loss: 33.231
training... 32700/200000: loss: 30.464
training... 32800/200000: loss: 37.288
training... 32900/200000: loss: 28.497
training... 33000/200000: loss: 29.109
training... 33100/200000: loss: 31.611
training... 33200/200000: loss: 35.609
training... 33300/200000: loss: 30.018
training... 33400/200000: loss: 32.945
training... 33500/200000: loss: 36.325
training... 33600/200000: loss: 33.237
training... 33700/200000: loss: 27.911
training... 33800/200000: loss: 28.386
training... 33900/200000: loss: 36.276
training... 34000/200000: loss: 35.227
training... 34100/200000: loss: 29.702
training... 34200/200000: loss: 26.413
training... 34300/200000: loss: 27.859
training... 34400/200000: loss: 28.452
training... 34500/200000: loss: 31.802
training... 34600/200000: loss: 30.957
training... 34700/200000: loss: 28.879
training... 34800/200000: loss: 30.610
training... 34900/200000: loss: 39.203
training... 35000/200000: loss: 34.449
training... 35100/200000: loss: 27.323
training... 35200/200000: loss: 28.441
training... 35300/200000: loss: 28.105
training... 35400/200000: loss: 29.157
training... 35500/200000: loss: 27.611
training... 35600/200000: loss: 28.395
training... 35700/200000: loss: 29.072
training... 35800/200000: loss: 31.568
training... 35900/200000: loss: 32.950
training... 36000/200000: loss: 28.031
training... 36100/200000: loss: 32.322
training... 36200/200000: loss: 30.009
training... 36300/200000: loss: 34.345
training... 36400/200000: loss: 28.785
training... 36500/200000: loss: 31.614
training... 36600/200000: loss: 27.831
training... 36700/200000: loss: 26.154
training... 36800/200000: loss: 28.186
training... 36900/200000: loss: 32.606
training... 37000/200000: loss: 29.548
training... 37100/200000: loss: 27.329
training... 37200/200000: loss: 28.922
training... 37300/200000: loss: 30.074
training... 37400/200000: loss: 34.734
training... 37500/200000: loss: 31.978
training... 37600/200000: loss: 25.469
training... 37700/200000: loss: 28.585
training... 37800/200000: loss: 27.149
training... 37900/200000: loss: 34.877
training... 38000/200000: loss: 24.724
