>>> Initializing clothing shape model...
>>> Star initialized.
>>> Get parameters list...
>>> Length of pose: 231
>>> Length of shape: 1
>>> Length of data: 231
self.base_body_list is 
['../../Data/base_body/pose_0153/subject_0000_params.json', '../../Data/base_body/pose_0079/subject_0000_params.json', '../../Data/base_body/pose_0133/subject_0000_params.json', '../../Data/base_body/pose_0206/subject_0000_params.json', '../../Data/base_body/pose_0023/subject_0000_params.json', '../../Data/base_body/pose_0144/subject_0000_params.json', '../../Data/base_body/pose_0202/subject_0000_params.json', '../../Data/base_body/pose_0191/subject_0000_params.json', '../../Data/base_body/pose_0222/subject_0000_params.json', '../../Data/base_body/pose_0041/subject_0000_params.json', '../../Data/base_body/pose_0109/subject_0000_params.json', '../../Data/base_body/pose_0168/subject_0000_params.json', '../../Data/base_body/pose_0224/subject_0000_params.json', '../../Data/base_body/pose_0215/subject_0000_params.json', '../../Data/base_body/pose_0143/subject_0000_params.json', '../../Data/base_body/pose_0227/subject_0000_params.json', '../../Data/base_body/pose_0062/subject_0000_params.json', '../../Data/base_body/pose_0016/subject_0000_params.json', '../../Data/base_body/pose_0054/subject_0000_params.json', '../../Data/base_body/pose_0204/subject_0000_params.json', '../../Data/base_body/pose_0162/subject_0000_params.json', '../../Data/base_body/pose_0130/subject_0000_params.json', '../../Data/base_body/pose_0134/subject_0000_params.json', '../../Data/base_body/pose_0066/subject_0000_params.json', '../../Data/base_body/pose_0212/subject_0000_params.json', '../../Data/base_body/pose_0157/subject_0000_params.json', '../../Data/base_body/pose_0028/subject_0000_params.json', '../../Data/base_body/pose_0189/subject_0000_params.json', '../../Data/base_body/pose_0029/subject_0000_params.json', '../../Data/base_body/pose_0000/subject_0000_params.json', '../../Data/base_body/pose_0158/subject_0000_params.json', '../../Data/base_body/pose_0177/subject_0000_params.json', '../../Data/base_body/pose_0164/subject_0000_params.json', '../../Data/base_body/pose_0119/subject_0000_params.json', '../../Data/base_body/pose_0190/subject_0000_params.json', '../../Data/base_body/pose_0076/subject_0000_params.json', '../../Data/base_body/pose_0086/subject_0000_params.json', '../../Data/base_body/pose_0207/subject_0000_params.json', '../../Data/base_body/pose_0040/subject_0000_params.json', '../../Data/base_body/pose_0084/subject_0000_params.json', '../../Data/base_body/pose_0220/subject_0000_params.json', '../../Data/base_body/pose_0159/subject_0000_params.json', '../../Data/base_body/pose_0179/subject_0000_params.json', '../../Data/base_body/pose_0030/subject_0000_params.json', '../../Data/base_body/pose_0007/subject_0000_params.json', '../../Data/base_body/pose_0200/subject_0000_params.json', '../../Data/base_body/pose_0141/subject_0000_params.json', '../../Data/base_body/pose_0138/subject_0000_params.json', '../../Data/base_body/pose_0203/subject_0000_params.json', '../../Data/base_body/pose_0176/subject_0000_params.json', '../../Data/base_body/pose_0165/subject_0000_params.json', '../../Data/base_body/pose_0052/subject_0000_params.json', '../../Data/base_body/pose_0090/subject_0000_params.json', '../../Data/base_body/pose_0001/subject_0000_params.json', '../../Data/base_body/pose_0063/subject_0000_params.json', '../../Data/base_body/pose_0122/subject_0000_params.json', '../../Data/base_body/pose_0194/subject_0000_params.json', '../../Data/base_body/pose_0132/subject_0000_params.json', '../../Data/base_body/pose_0099/subject_0000_params.json', '../../Data/base_body/pose_0147/subject_0000_params.json', '../../Data/base_body/pose_0142/subject_0000_params.json', '../../Data/base_body/pose_0014/subject_0000_params.json', '../../Data/base_body/pose_0137/subject_0000_params.json', '../../Data/base_body/pose_0107/subject_0000_params.json', '../../Data/base_body/pose_0201/subject_0000_params.json', '../../Data/base_body/pose_0195/subject_0000_params.json', '../../Data/base_body/pose_0015/subject_0000_params.json', '../../Data/base_body/pose_0002/subject_0000_params.json', '../../Data/base_body/pose_0020/subject_0000_params.json', '../../Data/base_body/pose_0003/subject_0000_params.json', '../../Data/base_body/pose_0211/subject_0000_params.json', '../../Data/base_body/pose_0102/subject_0000_params.json', '../../Data/base_body/pose_0231/subject_0000_params.json', '../../Data/base_body/pose_0019/subject_0000_params.json', '../../Data/base_body/pose_0217/subject_0000_params.json', '../../Data/base_body/pose_0175/subject_0000_params.json', '../../Data/base_body/pose_0181/subject_0000_params.json', '../../Data/base_body/pose_0043/subject_0000_params.json', '../../Data/base_body/pose_0106/subject_0000_params.json', '../../Data/base_body/pose_0139/subject_0000_params.json', '../../Data/base_body/pose_0101/subject_0000_params.json', '../../Data/base_body/pose_0128/subject_0000_params.json', '../../Data/base_body/pose_0053/subject_0000_params.json', '../../Data/base_body/pose_0115/subject_0000_params.json', '../../Data/base_body/pose_0193/subject_0000_params.json', '../../Data/base_body/pose_0111/subject_0000_params.json', '../../Data/base_body/pose_0123/subject_0000_params.json', '../../Data/base_body/pose_0117/subject_0000_params.json', '../../Data/base_body/pose_0089/subject_0000_params.json', '../../Data/base_body/pose_0182/subject_0000_params.json', '../../Data/base_body/pose_0108/subject_0000_params.json', '../../Data/base_body/pose_0073/subject_0000_params.json', '../../Data/base_body/pose_0056/subject_0000_params.json', '../../Data/base_body/pose_0226/subject_0000_params.json', '../../Data/base_body/pose_0037/subject_0000_params.json', '../../Data/base_body/pose_0218/subject_0000_params.json', '../../Data/base_body/pose_0088/subject_0000_params.json', '../../Data/base_body/pose_0009/subject_0000_params.json', '../../Data/base_body/pose_0196/subject_0000_params.json', '../../Data/base_body/pose_0083/subject_0000_params.json', '../../Data/base_body/pose_0100/subject_0000_params.json', '../../Data/base_body/pose_0039/subject_0000_params.json', '../../Data/base_body/pose_0032/subject_0000_params.json', '../../Data/base_body/pose_0024/subject_0000_params.json', '../../Data/base_body/pose_0209/subject_0000_params.json', '../../Data/base_body/pose_0171/subject_0000_params.json', '../../Data/base_body/pose_0044/subject_0000_params.json', '../../Data/base_body/pose_0184/subject_0000_params.json', '../../Data/base_body/pose_0098/subject_0000_params.json', '../../Data/base_body/pose_0091/subject_0000_params.json', '../../Data/base_body/pose_0049/subject_0000_params.json', '../../Data/base_body/pose_0047/subject_0000_params.json', '../../Data/base_body/pose_0048/subject_0000_params.json', '../../Data/base_body/pose_0036/subject_0000_params.json', '../../Data/base_body/pose_0081/subject_0000_params.json', '../../Data/base_body/pose_0183/subject_0000_params.json', '../../Data/base_body/pose_0146/subject_0000_params.json', '../../Data/base_body/pose_0077/subject_0000_params.json', '../../Data/base_body/pose_0124/subject_0000_params.json', '../../Data/base_body/pose_0150/subject_0000_params.json', '../../Data/base_body/pose_0125/subject_0000_params.json', '../../Data/base_body/pose_0092/subject_0000_params.json', '../../Data/base_body/pose_0093/subject_0000_params.json', '../../Data/base_body/pose_0121/subject_0000_params.json', '../../Data/base_body/pose_0033/subject_0000_params.json', '../../Data/base_body/pose_0027/subject_0000_params.json', '../../Data/base_body/pose_0149/subject_0000_params.json', '../../Data/base_body/pose_0061/subject_0000_params.json', '../../Data/base_body/pose_0205/subject_0000_params.json', '../../Data/base_body/pose_0155/subject_0000_params.json', '../../Data/base_body/pose_0095/subject_0000_params.json', '../../Data/base_body/pose_0116/subject_0000_params.json', '../../Data/base_body/pose_0004/subject_0000_params.json', '../../Data/base_body/pose_0145/subject_0000_params.json', '../../Data/base_body/pose_0192/subject_0000_params.json', '../../Data/base_body/pose_0174/subject_0000_params.json', '../../Data/base_body/pose_0064/subject_0000_params.json', '../../Data/base_body/pose_0018/subject_0000_params.json', '../../Data/base_body/pose_0186/subject_0000_params.json', '../../Data/base_body/pose_0229/subject_0000_params.json', '../../Data/base_body/pose_0110/subject_0000_params.json', '../../Data/base_body/pose_0120/subject_0000_params.json', '../../Data/base_body/pose_0017/subject_0000_params.json', '../../Data/base_body/pose_0148/subject_0000_params.json', '../../Data/base_body/pose_0008/subject_0000_params.json', '../../Data/base_body/pose_0225/subject_0000_params.json', '../../Data/base_body/pose_0057/subject_0000_params.json', '../../Data/base_body/pose_0058/subject_0000_params.json', '../../Data/base_body/pose_0067/subject_0000_params.json', '../../Data/base_body/pose_0131/subject_0000_params.json', '../../Data/base_body/pose_0012/subject_0000_params.json', '../../Data/base_body/pose_0161/subject_0000_params.json', '../../Data/base_body/pose_0087/subject_0000_params.json', '../../Data/base_body/pose_0129/subject_0000_params.json', '../../Data/base_body/pose_0223/subject_0000_params.json', '../../Data/base_body/pose_0210/subject_0000_params.json', '../../Data/base_body/pose_0096/subject_0000_params.json', '../../Data/base_body/pose_0060/subject_0000_params.json', '../../Data/base_body/pose_0082/subject_0000_params.json', '../../Data/base_body/pose_0104/subject_0000_params.json', '../../Data/base_body/pose_0185/subject_0000_params.json', '../../Data/base_body/pose_0180/subject_0000_params.json', '../../Data/base_body/pose_0127/subject_0000_params.json', '../../Data/base_body/pose_0188/subject_0000_params.json', '../../Data/base_body/pose_0050/subject_0000_params.json', '../../Data/base_body/pose_0046/subject_0000_params.json', '../../Data/base_body/pose_0187/subject_0000_params.json', '../../Data/base_body/pose_0065/subject_0000_params.json', '../../Data/base_body/pose_0197/subject_0000_params.json', '../../Data/base_body/pose_0071/subject_0000_params.json', '../../Data/base_body/pose_0011/subject_0000_params.json', '../../Data/base_body/pose_0069/subject_0000_params.json', '../../Data/base_body/pose_0072/subject_0000_params.json', '../../Data/base_body/pose_0213/subject_0000_params.json', '../../Data/base_body/pose_0094/subject_0000_params.json', '../../Data/base_body/pose_0156/subject_0000_params.json', '../../Data/base_body/pose_0230/subject_0000_params.json', '../../Data/base_body/pose_0034/subject_0000_params.json', '../../Data/base_body/pose_0022/subject_0000_params.json', '../../Data/base_body/pose_0103/subject_0000_params.json', '../../Data/base_body/pose_0005/subject_0000_params.json', '../../Data/base_body/pose_0167/subject_0000_params.json', '../../Data/base_body/pose_0232/subject_0000_params.json', '../../Data/base_body/pose_0170/subject_0000_params.json', '../../Data/base_body/pose_0068/subject_0000_params.json', '../../Data/base_body/pose_0214/subject_0000_params.json', '../../Data/base_body/pose_0055/subject_0000_params.json', '../../Data/base_body/pose_0075/subject_0000_params.json', '../../Data/base_body/pose_0140/subject_0000_params.json', '../../Data/base_body/pose_0045/subject_0000_params.json', '../../Data/base_body/pose_0221/subject_0000_params.json', '../../Data/base_body/pose_0013/subject_0000_params.json', '../../Data/base_body/pose_0154/subject_0000_params.json', '../../Data/base_body/pose_0114/subject_0000_params.json', '../../Data/base_body/pose_0070/subject_0000_params.json', '../../Data/base_body/pose_0198/subject_0000_params.json', '../../Data/base_body/pose_0216/subject_0000_params.json', '../../Data/base_body/pose_0097/subject_0000_params.json', '../../Data/base_body/pose_0126/subject_0000_params.json', '../../Data/base_body/pose_0152/subject_0000_params.json', '../../Data/base_body/pose_0112/subject_0000_params.json', '../../Data/base_body/pose_0078/subject_0000_params.json', '../../Data/base_body/pose_0025/subject_0000_params.json', '../../Data/base_body/pose_0151/subject_0000_params.json', '../../Data/base_body/pose_0026/subject_0000_params.json', '../../Data/base_body/pose_0080/subject_0000_params.json', '../../Data/base_body/pose_0105/subject_0000_params.json', '../../Data/base_body/pose_0035/subject_0000_params.json', '../../Data/base_body/pose_0118/subject_0000_params.json', '../../Data/base_body/pose_0136/subject_0000_params.json', '../../Data/base_body/pose_0208/subject_0000_params.json', '../../Data/base_body/pose_0085/subject_0000_params.json', '../../Data/base_body/pose_0006/subject_0000_params.json', '../../Data/base_body/pose_0173/subject_0000_params.json', '../../Data/base_body/pose_0166/subject_0000_params.json', '../../Data/base_body/pose_0113/subject_0000_params.json', '../../Data/base_body/pose_0163/subject_0000_params.json', '../../Data/base_body/pose_0059/subject_0000_params.json', '../../Data/base_body/pose_0051/subject_0000_params.json', '../../Data/base_body/pose_0135/subject_0000_params.json', '../../Data/base_body/pose_0228/subject_0000_params.json', '../../Data/base_body/pose_0038/subject_0000_params.json', '../../Data/base_body/pose_0199/subject_0000_params.json', '../../Data/base_body/pose_0169/subject_0000_params.json', '../../Data/base_body/pose_0160/subject_0000_params.json', '../../Data/base_body/pose_0021/subject_0000_params.json', '../../Data/base_body/pose_0178/subject_0000_params.json', '../../Data/base_body/pose_0042/subject_0000_params.json', '../../Data/base_body/pose_0074/subject_0000_params.json', '../../Data/base_body/pose_0172/subject_0000_params.json', '../../Data/base_body/pose_0031/subject_0000_params.json']
../../Data/base_body/pose_0153/subject_0000/clothWhite2/subject_0000_clothWhite2-scale10.obj

>>> 100/231 loading...
>>> 200/231 loading...
>>> MLP dimensions: [72, 1024, 1024, 1024, 1024, 1024, 1024, 5283].
>>> training MLP starts

training... 0100/300000: loss: 2767.827
training... 0200/300000: loss: 2090.151
training... 0300/300000: loss: 1757.952
training... 0400/300000: loss: 1502.900
training... 0500/300000: loss: 1386.900
training... 0600/300000: loss: 1287.815
training... 0700/300000: loss: 1134.188
training... 0800/300000: loss: 1068.196
training... 0900/300000: loss: 1045.796
training... 1000/300000: loss: 1043.945
training... 1100/300000: loss: 964.565
training... 1200/300000: loss: 1033.093
training... 1300/300000: loss: 906.663
training... 1400/300000: loss: 865.921
training... 1500/300000: loss: 900.557
training... 1600/300000: loss: 868.188
training... 1700/300000: loss: 775.121
training... 1800/300000: loss: 917.527
training... 1900/300000: loss: 808.893
training... 2000/300000: loss: 787.445
training... 2100/300000: loss: 758.541
training... 2200/300000: loss: 738.842
training... 2300/300000: loss: 728.288
training... 2400/300000: loss: 726.085
training... 2500/300000: loss: 754.183
training... 2600/300000: loss: 690.184
training... 2700/300000: loss: 728.299
training... 2800/300000: loss: 642.279
training... 2900/300000: loss: 638.570
training... 3000/300000: loss: 678.435
training... 3100/300000: loss: 632.504
training... 3200/300000: loss: 582.550
training... 3300/300000: loss: 568.180
training... 3400/300000: loss: 525.765
training... 3500/300000: loss: 480.216
training... 3600/300000: loss: 464.187
training... 3700/300000: loss: 457.037
training... 3800/300000: loss: 502.972
training... 3900/300000: loss: 429.392
training... 4000/300000: loss: 412.596
training... 4100/300000: loss: 594.467
training... 4200/300000: loss: 389.294
training... 4300/300000: loss: 410.917
training... 4400/300000: loss: 378.585
training... 4500/300000: loss: 420.020
training... 4600/300000: loss: 337.371
training... 4700/300000: loss: 328.755
training... 4800/300000: loss: 302.374
training... 4900/300000: loss: 303.692
training... 5000/300000: loss: 305.155
training... 5100/300000: loss: 268.822
training... 5200/300000: loss: 261.928
training... 5300/300000: loss: 265.311
training... 5400/300000: loss: 284.540
training... 5500/300000: loss: 242.613
training... 5600/300000: loss: 281.425
training... 5700/300000: loss: 240.509
training... 5800/300000: loss: 243.162
training... 5900/300000: loss: 245.617
training... 6000/300000: loss: 206.608
training... 6100/300000: loss: 212.730
training... 6200/300000: loss: 242.815
training... 6300/300000: loss: 211.406
training... 6400/300000: loss: 230.051
training... 6500/300000: loss: 205.134
training... 6600/300000: loss: 217.172
training... 6700/300000: loss: 202.745
training... 6800/300000: loss: 211.602
training... 6900/300000: loss: 204.753
training... 7000/300000: loss: 200.102
training... 7100/300000: loss: 176.310
training... 7200/300000: loss: 188.069
training... 7300/300000: loss: 176.365
training... 7400/300000: loss: 184.457
training... 7500/300000: loss: 169.489
training... 7600/300000: loss: 156.725
training... 7700/300000: loss: 162.057
training... 7800/300000: loss: 156.724
training... 7900/300000: loss: 167.544
training... 8000/300000: loss: 153.077
training... 8100/300000: loss: 160.339
training... 8200/300000: loss: 143.821
training... 8300/300000: loss: 138.261
training... 8400/300000: loss: 140.354
training... 8500/300000: loss: 141.219
training... 8600/300000: loss: 139.574
training... 8700/300000: loss: 147.100
training... 8800/300000: loss: 142.119
training... 8900/300000: loss: 119.135
training... 9000/300000: loss: 134.874
training... 9100/300000: loss: 119.248
training... 9200/300000: loss: 121.872
training... 9300/300000: loss: 129.429
training... 9400/300000: loss: 123.713
training... 9500/300000: loss: 118.559
training... 9600/300000: loss: 129.051
training... 9700/300000: loss: 109.868
training... 9800/300000: loss: 108.569
training... 9900/300000: loss: 107.185
training... 10000/300000: loss: 108.383
training... 10100/300000: loss: 114.309
training... 10200/300000: loss: 110.430
training... 10300/300000: loss: 106.903
training... 10400/300000: loss: 117.732
training... 10500/300000: loss: 104.559
training... 10600/300000: loss: 95.419
training... 10700/300000: loss: 107.702
training... 10800/300000: loss: 101.474
training... 10900/300000: loss: 103.612
training... 11000/300000: loss: 100.700
training... 11100/300000: loss: 104.436
training... 11200/300000: loss: 101.624
training... 11300/300000: loss: 90.189
training... 11400/300000: loss: 94.779
training... 11500/300000: loss: 91.851
training... 11600/300000: loss: 89.780
training... 11700/300000: loss: 90.315
training... 11800/300000: loss: 84.805
training... 11900/300000: loss: 96.109
training... 12000/300000: loss: 91.083
training... 12100/300000: loss: 90.812
training... 12200/300000: loss: 84.122
training... 12300/300000: loss: 100.742
training... 12400/300000: loss: 93.163
training... 12500/300000: loss: 95.898
training... 12600/300000: loss: 91.446
training... 12700/300000: loss: 95.615
training... 12800/300000: loss: 88.437
training... 12900/300000: loss: 84.302
training... 13000/300000: loss: 78.060
training... 13100/300000: loss: 82.743
training... 13200/300000: loss: 75.840
training... 13300/300000: loss: 89.004
training... 13400/300000: loss: 82.986
training... 13500/300000: loss: 77.782
training... 13600/300000: loss: 84.413
training... 13700/300000: loss: 85.795
training... 13800/300000: loss: 76.269
training... 13900/300000: loss: 76.964
training... 14000/300000: loss: 90.958
training... 14100/300000: loss: 92.324
training... 14200/300000: loss: 79.598
training... 14300/300000: loss: 80.652
training... 14400/300000: loss: 80.394
training... 14500/300000: loss: 80.442
training... 14600/300000: loss: 65.626
training... 14700/300000: loss: 71.979
training... 14800/300000: loss: 82.812
training... 14900/300000: loss: 69.265
training... 15000/300000: loss: 85.260
training... 15100/300000: loss: 71.984
training... 15200/300000: loss: 72.579
training... 15300/300000: loss: 76.520
training... 15400/300000: loss: 70.466
training... 15500/300000: loss: 66.770
training... 15600/300000: loss: 66.963
training... 15700/300000: loss: 70.188
training... 15800/300000: loss: 64.167
training... 15900/300000: loss: 75.846
training... 16000/300000: loss: 69.364
training... 16100/300000: loss: 81.574
training... 16200/300000: loss: 71.932
training... 16300/300000: loss: 69.391
training... 16400/300000: loss: 71.133
training... 16500/300000: loss: 72.494
training... 16600/300000: loss: 69.599
training... 16700/300000: loss: 77.651
training... 16800/300000: loss: 73.890
training... 16900/300000: loss: 59.707
training... 17000/300000: loss: 62.645
training... 17100/300000: loss: 69.688
training... 17200/300000: loss: 67.662
training... 17300/300000: loss: 67.053
training... 17400/300000: loss: 65.511
training... 17500/300000: loss: 63.429
training... 17600/300000: loss: 67.488
training... 17700/300000: loss: 71.349
training... 17800/300000: loss: 59.646
training... 17900/300000: loss: 58.072
training... 18000/300000: loss: 62.787
training... 18100/300000: loss: 63.393
training... 18200/300000: loss: 63.893
training... 18300/300000: loss: 65.255
training... 18400/300000: loss: 67.656
training... 18500/300000: loss: 57.983
training... 18600/300000: loss: 70.090
training... 18700/300000: loss: 62.535
training... 18800/300000: loss: 61.004
training... 18900/300000: loss: 59.877
training... 19000/300000: loss: 66.227
training... 19100/300000: loss: 72.896
training... 19200/300000: loss: 55.757
training... 19300/300000: loss: 56.960
training... 19400/300000: loss: 59.718
training... 19500/300000: loss: 65.322
training... 19600/300000: loss: 53.745
training... 19700/300000: loss: 61.672
training... 19800/300000: loss: 62.450
training... 19900/300000: loss: 55.149
training... 20000/300000: loss: 61.668
training... 20100/300000: loss: 58.580
training... 20200/300000: loss: 63.514
training... 20300/300000: loss: 70.015
training... 20400/300000: loss: 66.031
training... 20500/300000: loss: 50.635
training... 20600/300000: loss: 74.294
training... 20700/300000: loss: 59.550
training... 20800/300000: loss: 61.891
training... 20900/300000: loss: 59.498
training... 21000/300000: loss: 46.486
training... 21100/300000: loss: 63.497
training... 21200/300000: loss: 58.425
training... 21300/300000: loss: 55.553
training... 21400/300000: loss: 56.845
training... 21500/300000: loss: 58.700
training... 21600/300000: loss: 61.028
training... 21700/300000: loss: 57.490
training... 21800/300000: loss: 60.480
training... 21900/300000: loss: 63.283
training... 22000/300000: loss: 51.554
training... 22100/300000: loss: 57.792
training... 22200/300000: loss: 51.603
training... 22300/300000: loss: 59.445
training... 22400/300000: loss: 64.637
training... 22500/300000: loss: 58.592
training... 22600/300000: loss: 54.032
training... 22700/300000: loss: 53.228
training... 22800/300000: loss: 48.894
training... 22900/300000: loss: 57.758
training... 23000/300000: loss: 55.691
training... 23100/300000: loss: 49.572
training... 23200/300000: loss: 45.537
training... 23300/300000: loss: 54.595
training... 23400/300000: loss: 58.423
training... 23500/300000: loss: 51.687
training... 23600/300000: loss: 50.744
training... 23700/300000: loss: 52.597
training... 23800/300000: loss: 52.563
training... 23900/300000: loss: 60.913
training... 24000/300000: loss: 62.536
training... 24100/300000: loss: 57.841
training... 24200/300000: loss: 57.655
training... 24300/300000: loss: 55.471
training... 24400/300000: loss: 62.899
training... 24500/300000: loss: 51.217
training... 24600/300000: loss: 51.308
training... 24700/300000: loss: 58.285
training... 24800/300000: loss: 52.814
training... 24900/300000: loss: 59.359
training... 25000/300000: loss: 53.766
training... 25100/300000: loss: 51.033
training... 25200/300000: loss: 54.124
training... 25300/300000: loss: 61.882
training... 25400/300000: loss: 54.519
training... 25500/300000: loss: 59.408
training... 25600/300000: loss: 50.992
training... 25700/300000: loss: 52.759
training... 25800/300000: loss: 47.793
training... 25900/300000: loss: 50.633
training... 26000/300000: loss: 57.715
training... 26100/300000: loss: 52.774
training... 26200/300000: loss: 54.887
training... 26300/300000: loss: 61.793
training... 26400/300000: loss: 56.855
training... 26500/300000: loss: 51.007
training... 26600/300000: loss: 50.032
training... 26700/300000: loss: 55.149
training... 26800/300000: loss: 59.667
training... 26900/300000: loss: 55.837
training... 27000/300000: loss: 50.757
training... 27100/300000: loss: 47.942
training... 27200/300000: loss: 44.883
training... 27300/300000: loss: 50.504
training... 27400/300000: loss: 49.979
training... 27500/300000: loss: 53.558
training... 27600/300000: loss: 44.720
training... 27700/300000: loss: 55.738
training... 27800/300000: loss: 50.968
training... 27900/300000: loss: 51.393
training... 28000/300000: loss: 50.997
training... 28100/300000: loss: 56.844
training... 28200/300000: loss: 50.875
training... 28300/300000: loss: 49.985
training... 28400/300000: loss: 48.233
training... 28500/300000: loss: 63.348
training... 28600/300000: loss: 45.878
training... 28700/300000: loss: 49.524
training... 28800/300000: loss: 48.389
training... 28900/300000: loss: 59.344
training... 29000/300000: loss: 42.563
training... 29100/300000: loss: 50.871
training... 29200/300000: loss: 54.950
training... 29300/300000: loss: 49.469
training... 29400/300000: loss: 44.507
training... 29500/300000: loss: 47.487
training... 29600/300000: loss: 50.388
training... 29700/300000: loss: 48.545
training... 29800/300000: loss: 48.472
training... 29900/300000: loss: 49.434
training... 30000/300000: loss: 45.579
training... 30100/300000: loss: 48.455
training... 30200/300000: loss: 51.714
training... 30300/300000: loss: 50.133
training... 30400/300000: loss: 45.952
training... 30500/300000: loss: 44.431
training... 30600/300000: loss: 52.438
training... 30700/300000: loss: 47.257
training... 30800/300000: loss: 48.582
training... 30900/300000: loss: 41.919
training... 31000/300000: loss: 40.413
training... 31100/300000: loss: 41.256
training... 31200/300000: loss: 46.065
training... 31300/300000: loss: 46.622
training... 31400/300000: loss: 46.894
training... 31500/300000: loss: 44.305
training... 31600/300000: loss: 43.862
training... 31700/300000: loss: 44.226
training... 31800/300000: loss: 45.479
training... 31900/300000: loss: 49.166
training... 32000/300000: loss: 40.669
training... 32100/300000: loss: 46.264
training... 32200/300000: loss: 45.079
training... 32300/300000: loss: 44.176
training... 32400/300000: loss: 43.129
training... 32500/300000: loss: 48.323
training... 32600/300000: loss: 50.050
training... 32700/300000: loss: 44.102
training... 32800/300000: loss: 39.622
training... 32900/300000: loss: 48.740
training... 33000/300000: loss: 43.516
training... 33100/300000: loss: 42.138
training... 33200/300000: loss: 39.669
training... 33300/300000: loss: 51.830
training... 33400/300000: loss: 43.795
training... 33500/300000: loss: 47.104
training... 33600/300000: loss: 45.422
training... 33700/300000: loss: 45.150
training... 33800/300000: loss: 36.923
training... 33900/300000: loss: 41.627
training... 34000/300000: loss: 45.626
training... 34100/300000: loss: 42.089
training... 34200/300000: loss: 44.228
training... 34300/300000: loss: 47.107
training... 34400/300000: loss: 42.302
training... 34500/300000: loss: 53.397
training... 34600/300000: loss: 42.564
training... 34700/300000: loss: 43.695
training... 34800/300000: loss: 44.590
training... 34900/300000: loss: 45.074
training... 35000/300000: loss: 38.777
training... 35100/300000: loss: 40.437
training... 35200/300000: loss: 40.768
training... 35300/300000: loss: 42.035
training... 35400/300000: loss: 47.466
training... 35500/300000: loss: 44.071
training... 35600/300000: loss: 42.340
training... 35700/300000: loss: 42.721
training... 35800/300000: loss: 42.016
training... 35900/300000: loss: 42.606
training... 36000/300000: loss: 45.619
training... 36100/300000: loss: 42.927
training... 36200/300000: loss: 34.467
training... 36300/300000: loss: 46.661
training... 36400/300000: loss: 41.158
training... 36500/300000: loss: 43.394
training... 36600/300000: loss: 41.038
training... 36700/300000: loss: 41.827
training... 36800/300000: loss: 40.312
training... 36900/300000: loss: 52.663
training... 37000/300000: loss: 40.893
training... 37100/300000: loss: 43.262
training... 37200/300000: loss: 39.978
training... 37300/300000: loss: 40.595
training... 37400/300000: loss: 41.454
training... 37500/300000: loss: 38.923
training... 37600/300000: loss: 41.694
training... 37700/300000: loss: 43.089
training... 37800/300000: loss: 41.147
training... 37900/300000: loss: 44.354
