>>> Initializing clothing shape model...
>>> Star initialized.
>>> Get parameters list...
>>> Length of pose: 231
>>> Length of shape: 1
>>> Length of data: 231
self.base_body_list is 
['../../Data/base_body/pose_0153/subject_0000_params.json', '../../Data/base_body/pose_0079/subject_0000_params.json', '../../Data/base_body/pose_0133/subject_0000_params.json', '../../Data/base_body/pose_0206/subject_0000_params.json', '../../Data/base_body/pose_0023/subject_0000_params.json', '../../Data/base_body/pose_0144/subject_0000_params.json', '../../Data/base_body/pose_0202/subject_0000_params.json', '../../Data/base_body/pose_0191/subject_0000_params.json', '../../Data/base_body/pose_0222/subject_0000_params.json', '../../Data/base_body/pose_0041/subject_0000_params.json', '../../Data/base_body/pose_0109/subject_0000_params.json', '../../Data/base_body/pose_0168/subject_0000_params.json', '../../Data/base_body/pose_0224/subject_0000_params.json', '../../Data/base_body/pose_0215/subject_0000_params.json', '../../Data/base_body/pose_0143/subject_0000_params.json', '../../Data/base_body/pose_0227/subject_0000_params.json', '../../Data/base_body/pose_0062/subject_0000_params.json', '../../Data/base_body/pose_0016/subject_0000_params.json', '../../Data/base_body/pose_0054/subject_0000_params.json', '../../Data/base_body/pose_0204/subject_0000_params.json', '../../Data/base_body/pose_0162/subject_0000_params.json', '../../Data/base_body/pose_0130/subject_0000_params.json', '../../Data/base_body/pose_0134/subject_0000_params.json', '../../Data/base_body/pose_0066/subject_0000_params.json', '../../Data/base_body/pose_0212/subject_0000_params.json', '../../Data/base_body/pose_0157/subject_0000_params.json', '../../Data/base_body/pose_0028/subject_0000_params.json', '../../Data/base_body/pose_0189/subject_0000_params.json', '../../Data/base_body/pose_0029/subject_0000_params.json', '../../Data/base_body/pose_0000/subject_0000_params.json', '../../Data/base_body/pose_0158/subject_0000_params.json', '../../Data/base_body/pose_0177/subject_0000_params.json', '../../Data/base_body/pose_0164/subject_0000_params.json', '../../Data/base_body/pose_0119/subject_0000_params.json', '../../Data/base_body/pose_0190/subject_0000_params.json', '../../Data/base_body/pose_0076/subject_0000_params.json', '../../Data/base_body/pose_0086/subject_0000_params.json', '../../Data/base_body/pose_0207/subject_0000_params.json', '../../Data/base_body/pose_0040/subject_0000_params.json', '../../Data/base_body/pose_0084/subject_0000_params.json', '../../Data/base_body/pose_0220/subject_0000_params.json', '../../Data/base_body/pose_0159/subject_0000_params.json', '../../Data/base_body/pose_0179/subject_0000_params.json', '../../Data/base_body/pose_0030/subject_0000_params.json', '../../Data/base_body/pose_0007/subject_0000_params.json', '../../Data/base_body/pose_0200/subject_0000_params.json', '../../Data/base_body/pose_0141/subject_0000_params.json', '../../Data/base_body/pose_0138/subject_0000_params.json', '../../Data/base_body/pose_0203/subject_0000_params.json', '../../Data/base_body/pose_0176/subject_0000_params.json', '../../Data/base_body/pose_0165/subject_0000_params.json', '../../Data/base_body/pose_0052/subject_0000_params.json', '../../Data/base_body/pose_0090/subject_0000_params.json', '../../Data/base_body/pose_0001/subject_0000_params.json', '../../Data/base_body/pose_0063/subject_0000_params.json', '../../Data/base_body/pose_0122/subject_0000_params.json', '../../Data/base_body/pose_0194/subject_0000_params.json', '../../Data/base_body/pose_0132/subject_0000_params.json', '../../Data/base_body/pose_0099/subject_0000_params.json', '../../Data/base_body/pose_0147/subject_0000_params.json', '../../Data/base_body/pose_0142/subject_0000_params.json', '../../Data/base_body/pose_0014/subject_0000_params.json', '../../Data/base_body/pose_0137/subject_0000_params.json', '../../Data/base_body/pose_0107/subject_0000_params.json', '../../Data/base_body/pose_0201/subject_0000_params.json', '../../Data/base_body/pose_0195/subject_0000_params.json', '../../Data/base_body/pose_0015/subject_0000_params.json', '../../Data/base_body/pose_0002/subject_0000_params.json', '../../Data/base_body/pose_0020/subject_0000_params.json', '../../Data/base_body/pose_0003/subject_0000_params.json', '../../Data/base_body/pose_0211/subject_0000_params.json', '../../Data/base_body/pose_0102/subject_0000_params.json', '../../Data/base_body/pose_0231/subject_0000_params.json', '../../Data/base_body/pose_0019/subject_0000_params.json', '../../Data/base_body/pose_0217/subject_0000_params.json', '../../Data/base_body/pose_0175/subject_0000_params.json', '../../Data/base_body/pose_0181/subject_0000_params.json', '../../Data/base_body/pose_0043/subject_0000_params.json', '../../Data/base_body/pose_0106/subject_0000_params.json', '../../Data/base_body/pose_0139/subject_0000_params.json', '../../Data/base_body/pose_0101/subject_0000_params.json', '../../Data/base_body/pose_0128/subject_0000_params.json', '../../Data/base_body/pose_0053/subject_0000_params.json', '../../Data/base_body/pose_0115/subject_0000_params.json', '../../Data/base_body/pose_0193/subject_0000_params.json', '../../Data/base_body/pose_0111/subject_0000_params.json', '../../Data/base_body/pose_0123/subject_0000_params.json', '../../Data/base_body/pose_0117/subject_0000_params.json', '../../Data/base_body/pose_0089/subject_0000_params.json', '../../Data/base_body/pose_0182/subject_0000_params.json', '../../Data/base_body/pose_0108/subject_0000_params.json', '../../Data/base_body/pose_0073/subject_0000_params.json', '../../Data/base_body/pose_0056/subject_0000_params.json', '../../Data/base_body/pose_0226/subject_0000_params.json', '../../Data/base_body/pose_0037/subject_0000_params.json', '../../Data/base_body/pose_0218/subject_0000_params.json', '../../Data/base_body/pose_0088/subject_0000_params.json', '../../Data/base_body/pose_0009/subject_0000_params.json', '../../Data/base_body/pose_0196/subject_0000_params.json', '../../Data/base_body/pose_0083/subject_0000_params.json', '../../Data/base_body/pose_0100/subject_0000_params.json', '../../Data/base_body/pose_0039/subject_0000_params.json', '../../Data/base_body/pose_0032/subject_0000_params.json', '../../Data/base_body/pose_0024/subject_0000_params.json', '../../Data/base_body/pose_0209/subject_0000_params.json', '../../Data/base_body/pose_0171/subject_0000_params.json', '../../Data/base_body/pose_0044/subject_0000_params.json', '../../Data/base_body/pose_0184/subject_0000_params.json', '../../Data/base_body/pose_0098/subject_0000_params.json', '../../Data/base_body/pose_0091/subject_0000_params.json', '../../Data/base_body/pose_0049/subject_0000_params.json', '../../Data/base_body/pose_0047/subject_0000_params.json', '../../Data/base_body/pose_0048/subject_0000_params.json', '../../Data/base_body/pose_0036/subject_0000_params.json', '../../Data/base_body/pose_0081/subject_0000_params.json', '../../Data/base_body/pose_0183/subject_0000_params.json', '../../Data/base_body/pose_0146/subject_0000_params.json', '../../Data/base_body/pose_0077/subject_0000_params.json', '../../Data/base_body/pose_0124/subject_0000_params.json', '../../Data/base_body/pose_0150/subject_0000_params.json', '../../Data/base_body/pose_0125/subject_0000_params.json', '../../Data/base_body/pose_0092/subject_0000_params.json', '../../Data/base_body/pose_0093/subject_0000_params.json', '../../Data/base_body/pose_0121/subject_0000_params.json', '../../Data/base_body/pose_0033/subject_0000_params.json', '../../Data/base_body/pose_0027/subject_0000_params.json', '../../Data/base_body/pose_0149/subject_0000_params.json', '../../Data/base_body/pose_0061/subject_0000_params.json', '../../Data/base_body/pose_0205/subject_0000_params.json', '../../Data/base_body/pose_0155/subject_0000_params.json', '../../Data/base_body/pose_0095/subject_0000_params.json', '../../Data/base_body/pose_0116/subject_0000_params.json', '../../Data/base_body/pose_0004/subject_0000_params.json', '../../Data/base_body/pose_0145/subject_0000_params.json', '../../Data/base_body/pose_0192/subject_0000_params.json', '../../Data/base_body/pose_0174/subject_0000_params.json', '../../Data/base_body/pose_0064/subject_0000_params.json', '../../Data/base_body/pose_0018/subject_0000_params.json', '../../Data/base_body/pose_0186/subject_0000_params.json', '../../Data/base_body/pose_0229/subject_0000_params.json', '../../Data/base_body/pose_0110/subject_0000_params.json', '../../Data/base_body/pose_0120/subject_0000_params.json', '../../Data/base_body/pose_0017/subject_0000_params.json', '../../Data/base_body/pose_0148/subject_0000_params.json', '../../Data/base_body/pose_0008/subject_0000_params.json', '../../Data/base_body/pose_0225/subject_0000_params.json', '../../Data/base_body/pose_0057/subject_0000_params.json', '../../Data/base_body/pose_0058/subject_0000_params.json', '../../Data/base_body/pose_0067/subject_0000_params.json', '../../Data/base_body/pose_0131/subject_0000_params.json', '../../Data/base_body/pose_0012/subject_0000_params.json', '../../Data/base_body/pose_0161/subject_0000_params.json', '../../Data/base_body/pose_0087/subject_0000_params.json', '../../Data/base_body/pose_0129/subject_0000_params.json', '../../Data/base_body/pose_0223/subject_0000_params.json', '../../Data/base_body/pose_0210/subject_0000_params.json', '../../Data/base_body/pose_0096/subject_0000_params.json', '../../Data/base_body/pose_0060/subject_0000_params.json', '../../Data/base_body/pose_0082/subject_0000_params.json', '../../Data/base_body/pose_0104/subject_0000_params.json', '../../Data/base_body/pose_0185/subject_0000_params.json', '../../Data/base_body/pose_0180/subject_0000_params.json', '../../Data/base_body/pose_0127/subject_0000_params.json', '../../Data/base_body/pose_0188/subject_0000_params.json', '../../Data/base_body/pose_0050/subject_0000_params.json', '../../Data/base_body/pose_0046/subject_0000_params.json', '../../Data/base_body/pose_0187/subject_0000_params.json', '../../Data/base_body/pose_0065/subject_0000_params.json', '../../Data/base_body/pose_0197/subject_0000_params.json', '../../Data/base_body/pose_0071/subject_0000_params.json', '../../Data/base_body/pose_0011/subject_0000_params.json', '../../Data/base_body/pose_0069/subject_0000_params.json', '../../Data/base_body/pose_0072/subject_0000_params.json', '../../Data/base_body/pose_0213/subject_0000_params.json', '../../Data/base_body/pose_0094/subject_0000_params.json', '../../Data/base_body/pose_0156/subject_0000_params.json', '../../Data/base_body/pose_0230/subject_0000_params.json', '../../Data/base_body/pose_0034/subject_0000_params.json', '../../Data/base_body/pose_0022/subject_0000_params.json', '../../Data/base_body/pose_0103/subject_0000_params.json', '../../Data/base_body/pose_0005/subject_0000_params.json', '../../Data/base_body/pose_0167/subject_0000_params.json', '../../Data/base_body/pose_0232/subject_0000_params.json', '../../Data/base_body/pose_0170/subject_0000_params.json', '../../Data/base_body/pose_0068/subject_0000_params.json', '../../Data/base_body/pose_0214/subject_0000_params.json', '../../Data/base_body/pose_0055/subject_0000_params.json', '../../Data/base_body/pose_0075/subject_0000_params.json', '../../Data/base_body/pose_0140/subject_0000_params.json', '../../Data/base_body/pose_0045/subject_0000_params.json', '../../Data/base_body/pose_0221/subject_0000_params.json', '../../Data/base_body/pose_0013/subject_0000_params.json', '../../Data/base_body/pose_0154/subject_0000_params.json', '../../Data/base_body/pose_0114/subject_0000_params.json', '../../Data/base_body/pose_0070/subject_0000_params.json', '../../Data/base_body/pose_0198/subject_0000_params.json', '../../Data/base_body/pose_0216/subject_0000_params.json', '../../Data/base_body/pose_0097/subject_0000_params.json', '../../Data/base_body/pose_0126/subject_0000_params.json', '../../Data/base_body/pose_0152/subject_0000_params.json', '../../Data/base_body/pose_0112/subject_0000_params.json', '../../Data/base_body/pose_0078/subject_0000_params.json', '../../Data/base_body/pose_0025/subject_0000_params.json', '../../Data/base_body/pose_0151/subject_0000_params.json', '../../Data/base_body/pose_0026/subject_0000_params.json', '../../Data/base_body/pose_0080/subject_0000_params.json', '../../Data/base_body/pose_0105/subject_0000_params.json', '../../Data/base_body/pose_0035/subject_0000_params.json', '../../Data/base_body/pose_0118/subject_0000_params.json', '../../Data/base_body/pose_0136/subject_0000_params.json', '../../Data/base_body/pose_0208/subject_0000_params.json', '../../Data/base_body/pose_0085/subject_0000_params.json', '../../Data/base_body/pose_0006/subject_0000_params.json', '../../Data/base_body/pose_0173/subject_0000_params.json', '../../Data/base_body/pose_0166/subject_0000_params.json', '../../Data/base_body/pose_0113/subject_0000_params.json', '../../Data/base_body/pose_0163/subject_0000_params.json', '../../Data/base_body/pose_0059/subject_0000_params.json', '../../Data/base_body/pose_0051/subject_0000_params.json', '../../Data/base_body/pose_0135/subject_0000_params.json', '../../Data/base_body/pose_0228/subject_0000_params.json', '../../Data/base_body/pose_0038/subject_0000_params.json', '../../Data/base_body/pose_0199/subject_0000_params.json', '../../Data/base_body/pose_0169/subject_0000_params.json', '../../Data/base_body/pose_0160/subject_0000_params.json', '../../Data/base_body/pose_0021/subject_0000_params.json', '../../Data/base_body/pose_0178/subject_0000_params.json', '../../Data/base_body/pose_0042/subject_0000_params.json', '../../Data/base_body/pose_0074/subject_0000_params.json', '../../Data/base_body/pose_0172/subject_0000_params.json', '../../Data/base_body/pose_0031/subject_0000_params.json']
../../Data/base_body/pose_0153/subject_0000/clothWhite2/subject_0000_clothWhite2-scale10.obj

>>> 100/231 loading...
>>> 200/231 loading...
>>> MLP dimensions: [72, 4096, 2048, 2048, 2048, 5283].
>>> training MLP starts

training... 0100/300000: loss: 1816.679
training... 0200/300000: loss: 1334.740
training... 0300/300000: loss: 1150.411
training... 0400/300000: loss: 1013.162
training... 0500/300000: loss: 933.023
training... 0600/300000: loss: 842.083
training... 0700/300000: loss: 787.286
training... 0800/300000: loss: 733.629
training... 0900/300000: loss: 670.769
training... 1000/300000: loss: 599.535
training... 1100/300000: loss: 480.099
training... 1200/300000: loss: 433.615
training... 1300/300000: loss: 398.882
training... 1400/300000: loss: 367.243
training... 1500/300000: loss: 352.715
training... 1600/300000: loss: 355.650
training... 1700/300000: loss: 329.096
training... 1800/300000: loss: 342.900
training... 1900/300000: loss: 307.386
training... 2000/300000: loss: 311.777
training... 2100/300000: loss: 269.418
training... 2200/300000: loss: 291.516
training... 2300/300000: loss: 283.583
training... 2400/300000: loss: 246.468
training... 2500/300000: loss: 236.792
training... 2600/300000: loss: 267.990
training... 2700/300000: loss: 259.791
training... 2800/300000: loss: 222.002
training... 2900/300000: loss: 223.420
training... 3000/300000: loss: 391.995
training... 3100/300000: loss: 211.242
training... 3200/300000: loss: 206.387
training... 3300/300000: loss: 228.891
training... 3400/300000: loss: 192.814
training... 3500/300000: loss: 203.113
training... 3600/300000: loss: 240.612
training... 3700/300000: loss: 205.649
training... 3800/300000: loss: 224.339
training... 3900/300000: loss: 179.465
training... 4000/300000: loss: 187.401
training... 4100/300000: loss: 178.615
training... 4200/300000: loss: 273.500
training... 4300/300000: loss: 196.243
training... 4400/300000: loss: 187.754
training... 4500/300000: loss: 204.113
training... 4600/300000: loss: 284.348
training... 4700/300000: loss: 154.715
training... 4800/300000: loss: 208.377
training... 4900/300000: loss: 150.067
training... 5000/300000: loss: 140.249
training... 5100/300000: loss: 136.713
training... 5200/300000: loss: 153.666
training... 5300/300000: loss: 152.108
training... 5400/300000: loss: 137.727
training... 5500/300000: loss: 143.880
training... 5600/300000: loss: 139.825
training... 5700/300000: loss: 157.930
training... 5800/300000: loss: 175.171
training... 5900/300000: loss: 149.924
training... 6000/300000: loss: 142.930
training... 6100/300000: loss: 139.261
training... 6200/300000: loss: 178.763
training... 6300/300000: loss: 178.729
training... 6400/300000: loss: 293.157
training... 6500/300000: loss: 129.664
training... 6600/300000: loss: 175.501
training... 6700/300000: loss: 126.836
training... 6800/300000: loss: 126.485
training... 6900/300000: loss: 120.453
training... 7000/300000: loss: 143.297
training... 7100/300000: loss: 124.333
training... 7200/300000: loss: 159.070
training... 7300/300000: loss: 115.123
training... 7400/300000: loss: 231.548
training... 7500/300000: loss: 200.059
training... 7600/300000: loss: 127.648
training... 7700/300000: loss: 114.078
training... 7800/300000: loss: 127.602
training... 7900/300000: loss: 114.744
training... 8000/300000: loss: 129.677
training... 8100/300000: loss: 100.653
training... 8200/300000: loss: 121.894
training... 8300/300000: loss: 124.672
training... 8400/300000: loss: 106.392
training... 8500/300000: loss: 129.607
training... 8600/300000: loss: 133.501
training... 8700/300000: loss: 142.415
training... 8800/300000: loss: 87.686
training... 8900/300000: loss: 151.174
training... 9000/300000: loss: 123.638
training... 9100/300000: loss: 112.413
training... 9200/300000: loss: 103.390
training... 9300/300000: loss: 96.338
training... 9400/300000: loss: 97.037
training... 9500/300000: loss: 119.469
training... 9600/300000: loss: 393.296
training... 9700/300000: loss: 105.789
training... 9800/300000: loss: 93.004
training... 9900/300000: loss: 135.306
training... 10000/300000: loss: 98.183
training... 10100/300000: loss: 103.642
training... 10200/300000: loss: 124.939
training... 10300/300000: loss: 106.118
training... 10400/300000: loss: 93.895
training... 10500/300000: loss: 99.382
training... 10600/300000: loss: 102.470
training... 10700/300000: loss: 95.111
training... 10800/300000: loss: 89.638
training... 10900/300000: loss: 149.086
training... 11000/300000: loss: 88.608
training... 11100/300000: loss: 124.920
training... 11200/300000: loss: 90.940
training... 11300/300000: loss: 101.102
training... 11400/300000: loss: 89.021
training... 11500/300000: loss: 136.487
training... 11600/300000: loss: 110.888
training... 11700/300000: loss: 138.595
training... 11800/300000: loss: 86.992
training... 11900/300000: loss: 89.267
training... 12000/300000: loss: 116.987
training... 12100/300000: loss: 88.306
training... 12200/300000: loss: 87.079
training... 12300/300000: loss: 79.444
training... 12400/300000: loss: 155.464
training... 12500/300000: loss: 83.649
training... 12600/300000: loss: 84.851
training... 12700/300000: loss: 86.521
training... 12800/300000: loss: 80.886
training... 12900/300000: loss: 89.121
training... 13000/300000: loss: 112.539
training... 13100/300000: loss: 126.240
training... 13200/300000: loss: 87.332
training... 13300/300000: loss: 92.581
training... 13400/300000: loss: 80.035
training... 13500/300000: loss: 83.429
training... 13600/300000: loss: 62.817
training... 13700/300000: loss: 78.627
training... 13800/300000: loss: 79.262
training... 13900/300000: loss: 87.365
training... 14000/300000: loss: 82.787
training... 14100/300000: loss: 78.969
training... 14200/300000: loss: 74.283
training... 14300/300000: loss: 93.781
training... 14400/300000: loss: 80.231
training... 14500/300000: loss: 92.621
training... 14600/300000: loss: 86.843
training... 14700/300000: loss: 66.082
training... 14800/300000: loss: 83.546
training... 14900/300000: loss: 102.402
training... 15000/300000: loss: 75.401
training... 15100/300000: loss: 142.044
training... 15200/300000: loss: 73.263
training... 15300/300000: loss: 96.658
training... 15400/300000: loss: 118.948
training... 15500/300000: loss: 117.230
training... 15600/300000: loss: 108.347
training... 15700/300000: loss: 77.758
training... 15800/300000: loss: 88.231
training... 15900/300000: loss: 103.818
training... 16000/300000: loss: 70.058
training... 16100/300000: loss: 64.751
training... 16200/300000: loss: 82.989
training... 16300/300000: loss: 138.039
training... 16400/300000: loss: 110.321
training... 16500/300000: loss: 75.679
training... 16600/300000: loss: 72.816
training... 16700/300000: loss: 82.867
training... 16800/300000: loss: 83.450
training... 16900/300000: loss: 115.988
training... 17000/300000: loss: 63.599
training... 17100/300000: loss: 83.688
training... 17200/300000: loss: 63.353
training... 17300/300000: loss: 69.006
training... 17400/300000: loss: 80.056
training... 17500/300000: loss: 73.496
training... 17600/300000: loss: 64.237
training... 17700/300000: loss: 207.430
training... 17800/300000: loss: 71.400
training... 17900/300000: loss: 79.721
training... 18000/300000: loss: 60.100
training... 18100/300000: loss: 85.576
training... 18200/300000: loss: 69.970
training... 18300/300000: loss: 75.239
training... 18400/300000: loss: 129.567
training... 18500/300000: loss: 154.164
training... 18600/300000: loss: 70.122
training... 18700/300000: loss: 81.712
training... 18800/300000: loss: 65.531
training... 18900/300000: loss: 99.679
training... 19000/300000: loss: 72.983
training... 19100/300000: loss: 72.458
training... 19200/300000: loss: 112.421
training... 19300/300000: loss: 83.289
training... 19400/300000: loss: 66.148
training... 19500/300000: loss: 69.140
training... 19600/300000: loss: 71.721
training... 19700/300000: loss: 59.288
training... 19800/300000: loss: 65.190
training... 19900/300000: loss: 86.637
training... 20000/300000: loss: 63.330
training... 20100/300000: loss: 66.298
training... 20200/300000: loss: 78.193
training... 20300/300000: loss: 73.885
training... 20400/300000: loss: 73.608
training... 20500/300000: loss: 65.566
training... 20600/300000: loss: 56.644
training... 20700/300000: loss: 71.536
training... 20800/300000: loss: 60.702
training... 20900/300000: loss: 65.657
training... 21000/300000: loss: 57.971
training... 21100/300000: loss: 59.448
training... 21200/300000: loss: 80.092
training... 21300/300000: loss: 91.783
training... 21400/300000: loss: 65.416
training... 21500/300000: loss: 62.862
training... 21600/300000: loss: 55.055
training... 21700/300000: loss: 76.082
training... 21800/300000: loss: 81.735
training... 21900/300000: loss: 59.097
training... 22000/300000: loss: 106.997
training... 22100/300000: loss: 75.665
training... 22200/300000: loss: 69.988
training... 22300/300000: loss: 63.426
training... 22400/300000: loss: 63.820
training... 22500/300000: loss: 59.016
training... 22600/300000: loss: 55.605
training... 22700/300000: loss: 75.405
training... 22800/300000: loss: 57.727
training... 22900/300000: loss: 73.519
training... 23000/300000: loss: 56.826
training... 23100/300000: loss: 57.372
training... 23200/300000: loss: 99.466
training... 23300/300000: loss: 60.041
training... 23400/300000: loss: 71.155
training... 23500/300000: loss: 87.592
training... 23600/300000: loss: 52.123
training... 23700/300000: loss: 53.612
training... 23800/300000: loss: 54.415
training... 23900/300000: loss: 54.200
training... 24000/300000: loss: 75.314
training... 24100/300000: loss: 53.697
training... 24200/300000: loss: 67.463
training... 24300/300000: loss: 49.293
training... 24400/300000: loss: 50.927
training... 24500/300000: loss: 111.746
training... 24600/300000: loss: 55.643
training... 24700/300000: loss: 49.711
training... 24800/300000: loss: 50.018
training... 24900/300000: loss: 47.040
training... 25000/300000: loss: 45.369
training... 25100/300000: loss: 47.335
training... 25200/300000: loss: 47.205
training... 25300/300000: loss: 43.521
training... 25400/300000: loss: 43.747
training... 25500/300000: loss: 43.643
training... 25600/300000: loss: 38.276
training... 25700/300000: loss: 64.979
training... 25800/300000: loss: 45.093
training... 25900/300000: loss: 43.666
training... 26000/300000: loss: 45.268
training... 26100/300000: loss: 41.667
training... 26200/300000: loss: 43.982
training... 26300/300000: loss: 47.538
training... 26400/300000: loss: 45.197
training... 26500/300000: loss: 48.191
training... 26600/300000: loss: 43.645
training... 26700/300000: loss: 47.352
training... 26800/300000: loss: 45.013
training... 26900/300000: loss: 43.553
training... 27000/300000: loss: 40.375
training... 27100/300000: loss: 46.105
training... 27200/300000: loss: 51.024
training... 27300/300000: loss: 53.261
training... 27400/300000: loss: 44.327
training... 27500/300000: loss: 39.818
training... 27600/300000: loss: 51.685
training... 27700/300000: loss: 39.995
training... 27800/300000: loss: 45.697
training... 27900/300000: loss: 45.003
training... 28000/300000: loss: 39.851
training... 28100/300000: loss: 41.897
training... 28200/300000: loss: 43.338
training... 28300/300000: loss: 41.495
training... 28400/300000: loss: 47.362
training... 28500/300000: loss: 38.496
training... 28600/300000: loss: 54.612
training... 28700/300000: loss: 41.523
training... 28800/300000: loss: 34.471
training... 28900/300000: loss: 42.450
training... 29000/300000: loss: 39.413
training... 29100/300000: loss: 38.723
training... 29200/300000: loss: 37.698
training... 29300/300000: loss: 39.710
training... 29400/300000: loss: 44.962
training... 29500/300000: loss: 45.600
training... 29600/300000: loss: 44.385
training... 29700/300000: loss: 34.988
training... 29800/300000: loss: 41.188
training... 29900/300000: loss: 45.937
training... 30000/300000: loss: 36.364
training... 30100/300000: loss: 45.081
training... 30200/300000: loss: 37.350
training... 30300/300000: loss: 44.990
training... 30400/300000: loss: 41.367
training... 30500/300000: loss: 40.171
training... 30600/300000: loss: 41.634
training... 30700/300000: loss: 49.584
training... 30800/300000: loss: 35.937
training... 30900/300000: loss: 43.231
training... 31000/300000: loss: 36.929
training... 31100/300000: loss: 36.884
training... 31200/300000: loss: 36.594
training... 31300/300000: loss: 40.755
training... 31400/300000: loss: 43.538
training... 31500/300000: loss: 40.722
training... 31600/300000: loss: 39.207
training... 31700/300000: loss: 39.126
training... 31800/300000: loss: 41.743
training... 31900/300000: loss: 32.413
training... 32000/300000: loss: 38.322
training... 32100/300000: loss: 38.726
training... 32200/300000: loss: 42.448
training... 32300/300000: loss: 35.235
training... 32400/300000: loss: 32.900
training... 32500/300000: loss: 31.527
training... 32600/300000: loss: 43.739
training... 32700/300000: loss: 39.935
training... 32800/300000: loss: 37.621
training... 32900/300000: loss: 41.545
training... 33000/300000: loss: 37.135
training... 33100/300000: loss: 43.616
training... 33200/300000: loss: 33.943
training... 33300/300000: loss: 37.421
training... 33400/300000: loss: 35.145
training... 33500/300000: loss: 37.130
training... 33600/300000: loss: 35.403
training... 33700/300000: loss: 33.417
training... 33800/300000: loss: 37.586
training... 33900/300000: loss: 35.673
training... 34000/300000: loss: 40.968
training... 34100/300000: loss: 39.447
training... 34200/300000: loss: 30.594
training... 34300/300000: loss: 32.484
training... 34400/300000: loss: 40.181
training... 34500/300000: loss: 31.399
training... 34600/300000: loss: 37.272
training... 34700/300000: loss: 40.986
training... 34800/300000: loss: 33.540
training... 34900/300000: loss: 40.967
training... 35000/300000: loss: 38.539
training... 35100/300000: loss: 40.464
training... 35200/300000: loss: 31.724
training... 35300/300000: loss: 33.715
training... 35400/300000: loss: 39.586
training... 35500/300000: loss: 35.669
training... 35600/300000: loss: 35.010
training... 35700/300000: loss: 31.530
training... 35800/300000: loss: 32.377
training... 35900/300000: loss: 30.883
training... 36000/300000: loss: 34.631
training... 36100/300000: loss: 37.175
training... 36200/300000: loss: 34.183
training... 36300/300000: loss: 31.272
training... 36400/300000: loss: 37.008
training... 36500/300000: loss: 32.405
training... 36600/300000: loss: 36.931
training... 36700/300000: loss: 33.660
training... 36800/300000: loss: 36.730
training... 36900/300000: loss: 33.947
training... 37000/300000: loss: 38.015
training... 37100/300000: loss: 36.665
training... 37200/300000: loss: 32.833
training... 37300/300000: loss: 32.092
training... 37400/300000: loss: 30.309
training... 37500/300000: loss: 31.981
training... 37600/300000: loss: 36.408
training... 37700/300000: loss: 41.633
training... 37800/300000: loss: 32.241
training... 37900/300000: loss: 34.672
training... 38000/300000: loss: 40.179
